artist_ids,popularity
0z4gvV4rjIZ9wHck67ucSV,79
4YLtscXsxbVgi031ovDDdh,79
31TPClRtHm23RisEBtV3X7,79
7MiDcPa6UiV3In7lIM71IN,79
3IW7ScrzXmPvZhB27hmfgy,79
6VuMaDnrHyPL1p4EHjYLi7,79
6w9ToX5slZ4uIdmD17hJ3c,79
08GQAI4eElDnROBrJRGE0X,79
4Z8W4fKeB5YxbusRsdQVPb,79
26dSoYclwsYLMAKD3tpOr4,79
4tZwfgrHOc3mvqYlEYSvVi,79
26VFTg2z8YR0cCuwLzESi2,79
3WGpXCj9YhhfX11TToZcXP,79
4DdkRBBYG6Yk9Ka8tdJ9BW,79
1KCSPY1glIKqW2TotWuXOR,79
0eDvMgVFoNV3TpwtrVCoTj,79
0lAWpj5szCSwM4rUMHYmrr,79
46SHBwWsqBkxI7EeeBEQG7,79
20wkVLutqVOYrc0kxFs7rA,79
7oPftvlwr6VrsViSDV7fJY,79
64M6ah0SkkRsnPGtGiRAbb,78
3Isy6kedDrgPYoTS1dazA9,78
1SupJlEpv7RS2tPNRaHViT,78
711MCceyCBcFnzjGY4Q7Un,78
0AqlFI0tz2DsEoJlKSIiT9,78
0ErzCpIMyLcjPiwT4elrtZ,78
3Sz7ZnJQBIHsXLUSo0OQtM,78
6fOMl44jA4Sp5b9PpYCkzz,78
5lpH0xAS4fVfLkACg9DAuM,78
6Ip8FS7vWT1uKkJSweANQK,78
31W5EY0aAly4Qieq6OFu6I,78
63yrD80RY3RNEM2YDpUpO8,78
2EMAnMvWE2eb56ToJVfCWs,78
6JL8zeS1NmiOftqZTRgdTz,78
7c0XG5cIJTrrAgEC3ULPiq,78
3MZsBdqDrRTJihTHQrO6Dq,78
7ltDVBr6mKbRvohxheJ9h1,78
6tbjWDEIzxoDsBA1FuhfPW,78
37230BxxYs9ksS7OkZw3IU,78
6DPYiyq5kWVQS4RGwxzPC7,78
07YUOmWljBTXwIseAUd9TW,78
12vb80Km0Ew53ABfJOepVz,78
69GGBxA162lTqCwzJG5jLp,78
4nDoRrQiYLoBzwC5BhVJzF,78
47mIJdHORyRerp4os813jD,78
3gBKY0y3dFFVRqicLnVZYz,78
5KKpBU5eC2tJDzf0wmlRp2,78
6jGMq4yGs7aQzuGsMgVgZR,78
1yR65psqiazQpeM79CcGh8,78
3YQKmKGau1PzlVlkL1iodx,78
0fA0VVWsXO9YnASrzqfmYu,78
49e4v89VmlDcFCMyDv9wQ9,78
1zNqQNIdeOUZHb8zbZRFMX,78
0XwVARXT135rw8lyw1EeWP,78
7v4imS0moSyGdXyLgVTIV7,78
3wcj11K77LjEY1PkEazffa,78
22bE4uQ6baNwSHPVcDxLCe,77
4sj6D0zlMOl25nprDJBiU9,77
4obzFoKoKRHIphyHzJ35G3,77
3IYUhFvPQItj6xySrBmZkd,77
1elUiq4X7pxej6FRlrEzjM,77
2jSGzJw0ebJLu7OLVSOcBP,77
7n2Ycct7Beij7Dj7meI4X0,77
4UXqAaa6dQYAk18Lv7PEgX,77
77ziqFxp5gaInVrF2lj4ht,77
70B80Lwx2sxti0M1Ng9e8K,77
5VadK1havLhK1OpKYsXv9y,77
57LYzLEk2LcFghVwuWbcuS,77
0k17h0D3J5VfsdmQ1iZtE9,77
0NGAZxHanS9e0iNHpR8f2W,77
2RdwBSPQiwcmiDo9kixcl8,77
07YZf4WDAMNwqr4jfgOZ8y,77
73sIBHcqh3Z3NyqHKZ7FOL,77
2C6i0I5RiGzDKN9IAF8reh,77
0X2BH1fck6amBIoJhDVmmJ,77
0jnsk9HBra6NMjO2oANoPY,77
2HPaUgqeutzr3jx5a9WyDV,77
5LHRHt1k9lMyONurDHEdrp,77
46pWGuE3dSwY3bMMXGBvVS,77
5gqmbbfjcikQBzPB5Hv13I,77
1zNqDE7qDGCsyzJwohVaoX,77
2uFUBdaVGtyMqckSeCl0Qj,77
3qm84nBOXUEQ2vnTfUTTFC,77
1yxSLGMDHlW21z4YXirZDS,77
